com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:53:06,275 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:53:10,017 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:110) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:53:10,021 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:53:10,022 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:125) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:53:10,024 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:128) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:53:10,805 com.jackfruit.base.BaseTest.closeApplication(BaseTest.java:98) Closing Browser 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 09:53:11,611 com.jackfruit.base.BaseTest.publishReport(BaseTest.java:72) Publishing ExtentReport:./report/19_04_2018_09_52_34.html 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:01:43,140 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:01:43,301 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:01:43,312 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:02:14,460 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:02:14,782 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:110) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:02:14,787 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:02:14,789 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:125) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:02:14,790 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:128) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:10:48,395 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:10:48,558 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:10:48,567 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:11:17,424 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:13:10,568 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:13:10,757 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:13:10,771 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:13:41,077 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:17:24,730 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:17:24,889 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:17:24,899 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:17:54,346 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:19:48,571 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:19:48,757 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:19:48,767 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:20:17,806 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:21:29,520 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:21:29,725 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:21:29,746 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:08,241 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:08,402 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:08,412 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:52,033 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:52,195 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:22:52,206 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:23:20,812 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:29:03,022 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:29:03,184 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:29:03,196 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:29:40,180 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:31:50,201 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:31:50,383 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:31:50,393 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:32:20,884 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:33:26,333 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:33:26,495 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:33:26,506 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:33:56,288 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:34:55,969 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:34:56,134 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:34:56,145 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:35:24,769 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:36:30,448 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:36:30,663 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:36:30,673 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:36:57,931 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:36:58,089 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:110) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:36:58,093 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:36:58,094 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:125) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:36:58,094 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:128) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:37:55,635 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:37:56,087 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:37:56,108 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:38:25,886 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:38:25,979 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:110) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:38:25,982 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:38:25,984 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:125) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:38:25,984 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:128) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:39:34,311 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:39:34,482 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:39:34,494 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:85) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:40:01,978 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:106) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:40:03,981 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:110) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:40:03,985 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:40:03,987 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:125) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 10:40:03,987 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:128) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:36:29,012 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:36:29,179 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:36:29,190 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) **************************************************************************************** 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:36:29,190 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) **************************************************************************************** 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:36:29,190 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:37:00,220 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:111) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:37:04,082 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:115) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:37:04,114 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:37:04,117 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:130) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:37:04,117 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:133) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:49:42,616 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:49:42,831 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:49:42,842 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:49:42,843 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:49:42,843 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:50:14,109 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:115) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:50:17,264 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:119) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:50:17,268 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:50:17,269 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:134) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:50:17,270 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:137) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:12,796 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:12,959 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:12,970 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:12,970 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:12,970 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:42,931 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:115) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:44,942 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:119) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:44,946 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) This script will automatically login and logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:44,949 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:134) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 11:51:44,949 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:137) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:03:30,446 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:03:30,616 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:03:30,626 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:03:30,626 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:03:30,626 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:03,602 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:114) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:05,588 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:118) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:05,591 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) 
-------- This script will automatically login and logout ----------
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:05,593 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:133) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:05,593 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:136) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:52,899 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:53,060 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:53,070 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:53,070 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:53,070 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:41,254 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:116) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:43,151 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:120) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:43,154 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) 
-------- This script will automatically login and logout ----------
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:43,156 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:135) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:43,157 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:138) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,596 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,760 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,772 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,772 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,773 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:42,087 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:116) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:44,512 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:123) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:44,518 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) 
-------- This script will automatically login and logout ----------
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:44,521 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:138) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:44,522 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:141) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,683 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,878 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,889 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,893 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,893 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:56,907 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:116) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:57,266 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:123) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:57,270 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) 
-------- This script will automatically login and logout ----------
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:57,274 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:138) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:57,274 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:141) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,450 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,612 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,622 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,623 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,623 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:47:26,658 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:116) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:47:27,670 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:123) Started executing test:testAutoLoginLogout1 
